,chr,start,end,state,median,multiplier,cell_id,sample_id,library_id
31,15,1,103000000,2,1.99205305596751,1,SA928-A73044A-R07-C04,SA928,A73044A
32,16,1,90500000,2,1.83589427607681,1,SA928-A73044A-R07-C04,SA928,A73044A
33,17,1,81500000,2,2.01056372525434,1,SA928-A73044A-R07-C04,SA928,A73044A
34,18,1,78500000,2,2.00972871144024,1,SA928-A73044A-R07-C04,SA928,A73044A
35,19,1,59500000,2,1.670000988366,1,SA928-A73044A-R07-C04,SA928,A73044A
36,2,1,243500000,2,1.9460066027495602,1,SA928-A73044A-R07-C04,SA928,A73044A
37,20,1,63500000,2,2.2300889362672702,1,SA928-A73044A-R07-C04,SA928,A73044A
38,21,1,48500000,2,1.88303705918758,1,SA928-A73044A-R07-C04,SA928,A73044A
39,22,1,51500000,2,2.0658902790356697,1,SA928-A73044A-R07-C04,SA928,A73044A
40,3,1,198500000,2,1.9522856170128602,1,SA928-A73044A-R07-C04,SA928,A73044A
41,4,1,191500000,2,1.7589664815304398,1,SA928-A73044A-R07-C04,SA928,A73044A
42,5,1,181000000,2,1.99669532775505,1,SA928-A73044A-R07-C04,SA928,A73044A
43,6,1,171500000,2,2.00525218628479,1,SA928-A73044A-R07-C04,SA928,A73044A
44,7,1,159500000,2,1.95213959333812,1,SA928-A73044A-R07-C04,SA928,A73044A
45,8,1,146500000,2,2.01186986890723,1,SA928-A73044A-R07-C04,SA928,A73044A
46,9,1,141500000,2,1.9933572886830402,1,SA928-A73044A-R07-C04,SA928,A73044A
47,X,1,155500000,1,1.00226437184663,1,SA928-A73044A-R07-C04,SA928,A73044A
48,Y,1,59500000,1,1.0035065847090199,1,SA928-A73044A-R07-C04,SA928,A73044A
49,1,1,14000000,4,4.14222103125209,4,SA928-A73044A-R07-C05,SA928,A73044A
50,1,14000001,18500000,5,5.16340647773788,4,SA928-A73044A-R07-C05,SA928,A73044A
51,1,18500001,36000000,4,4.14126958795557,4,SA928-A73044A-R07-C05,SA928,A73044A
52,1,36000001,37500000,5,4.975336321726711,4,SA928-A73044A-R07-C05,SA928,A73044A
53,1,37500001,64500000,4,4.07416968391702,4,SA928-A73044A-R07-C05,SA928,A73044A
54,1,64500001,66000000,5,5.01224562492349,4,SA928-A73044A-R07-C05,SA928,A73044A
55,1,66000001,84000000,4,4.1149339762742905,4,SA928-A73044A-R07-C05,SA928,A73044A
56,1,84000001,103000000,5,4.79182793210382,4,SA928-A73044A-R07-C05,SA928,A73044A
57,1,103000001,116000000,4,4.2416732133190695,4,SA928-A73044A-R07-C05,SA928,A73044A
58,1,116000001,120500000,5,4.7579911260325405,4,SA928-A73044A-R07-C05,SA928,A73044A
59,1,120500001,206500000,4,4.104995548476309,4,SA928-A73044A-R07-C05,SA928,A73044A
60,1,206500001,214500000,5,4.75351554368258,4,SA928-A73044A-R07-C05,SA928,A73044A
61,1,214500001,220000000,4,3.76044976446622,4,SA928-A73044A-R07-C05,SA928,A73044A
62,1,220000001,225500000,5,4.81771318063152,4,SA928-A73044A-R07-C05,SA928,A73044A
63,1,225500001,238500000,4,4.17937127097208,4,SA928-A73044A-R07-C05,SA928,A73044A
64,1,238500001,241500000,5,4.8893124222833695,4,SA928-A73044A-R07-C05,SA928,A73044A
65,1,241500001,249500000,4,3.8909164117475497,4,SA928-A73044A-R07-C05,SA928,A73044A
66,10,1,23500000,4,4.15575760926475,4,SA928-A73044A-R07-C05,SA928,A73044A
67,10,23500001,27000000,5,4.84259638542108,4,SA928-A73044A-R07-C05,SA928,A73044A
68,10,27000001,58000000,4,3.93480652693231,4,SA928-A73044A-R07-C05,SA928,A73044A
69,10,58000001,62000000,5,4.96734352680934,4,SA928-A73044A-R07-C05,SA928,A73044A
70,10,62000001,110000000,4,4.260415307284791,4,SA928-A73044A-R07-C05,SA928,A73044A
71,10,110000001,114000000,5,4.8699187558788,4,SA928-A73044A-R07-C05,SA928,A73044A
72,10,114000001,117500000,4,4.121918114532,4,SA928-A73044A-R07-C05,SA928,A73044A
73,10,117500001,120500000,5,4.8184465597575405,4,SA928-A73044A-R07-C05,SA928,A73044A
74,10,120500001,124000000,4,4.15740317080572,4,SA928-A73044A-R07-C05,SA928,A73044A
75,10,124000001,129500000,5,4.880786485322719,4,SA928-A73044A-R07-C05,SA928,A73044A
76,10,129500001,132500000,4,4.175966003476979,4,SA928-A73044A-R07-C05,SA928,A73044A
77,10,132500001,136000000,5,5.0842526873882905,4,SA928-A73044A-R07-C05,SA928,A73044A
78,11,1,84000000,4,4.1256150046888305,4,SA928-A73044A-R07-C05,SA928,A73044A
79,11,84000001,87000000,5,4.9910026731040595,4,SA928-A73044A-R07-C05,SA928,A73044A
80,11,87000001,94500000,4,3.85857780602157,4,SA928-A73044A-R07-C05,SA928,A73044A
81,11,94500001,97000000,5,5.02908849676794,4,SA928-A73044A-R07-C05,SA928,A73044A
82,11,97000001,100000000,4,4.32028870013718,4,SA928-A73044A-R07-C05,SA928,A73044A
83,11,100000001,102000000,5,4.95811765567669,4,SA928-A73044A-R07-C05,SA928,A73044A
84,11,102000001,112000000,4,4.1625651816437,4,SA928-A73044A-R07-C05,SA928,A73044A
85,11,112000001,114500000,5,5.2074903502431695,4,SA928-A73044A-R07-C05,SA928,A73044A
86,11,114500001,126500000,4,4.11315924508723,4,SA928-A73044A-R07-C05,SA928,A73044A
87,11,126500001,133000000,5,5.15266372949462,4,SA928-A73044A-R07-C05,SA928,A73044A
88,11,133000001,135500000,4,3.64088371443281,4,SA928-A73044A-R07-C05,SA928,A73044A
89,12,1,26000000,4,4.20426012061183,4,SA928-A73044A-R07-C05,SA928,A73044A
90,12,26000001,29000000,5,4.6686482430317495,4,SA928-A73044A-R07-C05,SA928,A73044A
91,12,29000001,108500000,4,4.18173945745963,4,SA928-A73044A-R07-C05,SA928,A73044A
92,12,108500001,110500000,5,4.987708692406559,4,SA928-A73044A-R07-C05,SA928,A73044A
93,12,110500001,129500000,4,4.112314693885169,4,SA928-A73044A-R07-C05,SA928,A73044A
94,12,129500001,134000000,5,4.79216570295759,4,SA928-A73044A-R07-C05,SA928,A73044A
95,13,1,115500000,4,3.95840974628173,4,SA928-A73044A-R07-C05,SA928,A73044A
96,14,1,26000000,4,3.99256302098877,4,SA928-A73044A-R07-C05,SA928,A73044A
97,14,26000001,30000000,5,4.95010808957126,4,SA928-A73044A-R07-C05,SA928,A73044A
98,14,30000001,32000000,4,3.61438447619385,4,SA928-A73044A-R07-C05,SA928,A73044A
99,14,32000001,38500000,5,4.898814031862179,4,SA928-A73044A-R07-C05,SA928,A73044A
100,14,38500001,64500000,4,4.30628751869141,4,SA928-A73044A-R07-C05,SA928,A73044A
101,14,64500001,71000000,5,4.76661940780479,4,SA928-A73044A-R07-C05,SA928,A73044A
102,14,71000001,107500000,4,4.12743217759792,4,SA928-A73044A-R07-C05,SA928,A73044A
103,15,1,35500000,4,4.00956089833468,4,SA928-A73044A-R07-C05,SA928,A73044A
104,15,35500001,40500000,5,4.6947403909229495,4,SA928-A73044A-R07-C05,SA928,A73044A
105,15,40500001,48000000,4,3.97634776351829,4,SA928-A73044A-R07-C05,SA928,A73044A
106,15,48000001,54500000,5,4.76654972107108,4,SA928-A73044A-R07-C05,SA928,A73044A
107,15,54500001,103000000,4,4.21133142753449,4,SA928-A73044A-R07-C05,SA928,A73044A
108,16,1,46500000,4,4.046434197649799,4,SA928-A73044A-R07-C05,SA928,A73044A
109,16,46500001,57000000,5,4.823000184582231,4,SA928-A73044A-R07-C05,SA928,A73044A
110,16,57000001,63500000,4,4.15061262202644,4,SA928-A73044A-R07-C05,SA928,A73044A
111,16,63500001,67000000,5,4.8441251304733095,4,SA928-A73044A-R07-C05,SA928,A73044A
112,16,67000001,76000000,4,4.10714462467462,4,SA928-A73044A-R07-C05,SA928,A73044A
113,16,76000001,90500000,5,4.842322878072769,4,SA928-A73044A-R07-C05,SA928,A73044A
114,17,1,81500000,4,3.9401560828035294,4,SA928-A73044A-R07-C05,SA928,A73044A
115,18,1,40000000,4,3.9166562626813297,4,SA928-A73044A-R07-C05,SA928,A73044A
116,18,40000001,48500000,5,4.86126531492516,4,SA928-A73044A-R07-C05,SA928,A73044A
117,18,48500001,54000000,4,3.9338829825841404,4,SA928-A73044A-R07-C05,SA928,A73044A
118,18,54000001,57500000,5,4.73463274145081,4,SA928-A73044A-R07-C05,SA928,A73044A
119,18,57500001,78500000,4,4.27669417448803,4,SA928-A73044A-R07-C05,SA928,A73044A
120,19,1,57000000,4,3.83687469541071,4,SA928-A73044A-R07-C05,SA928,A73044A
121,19,57000001,59500000,5,4.999378670330191,4,SA928-A73044A-R07-C05,SA928,A73044A
122,2,1,137000000,4,4.12765364356535,4,SA928-A73044A-R07-C05,SA928,A73044A
123,2,137000001,140500000,5,4.833119492222821,4,SA928-A73044A-R07-C05,SA928,A73044A
124,2,140500001,177500000,4,4.17746455725984,4,SA928-A73044A-R07-C05,SA928,A73044A
125,2,177500001,179500000,5,5.0086387122365705,4,SA928-A73044A-R07-C05,SA928,A73044A
126,2,179500001,208500000,4,4.18628298272296,4,SA928-A73044A-R07-C05,SA928,A73044A
127,2,208500001,212000000,5,4.88661686690713,4,SA928-A73044A-R07-C05,SA928,A73044A
128,2,212000001,216000000,4,3.8465671773087697,4,SA928-A73044A-R07-C05,SA928,A73044A
129,2,216000001,222000000,5,4.80702119273033,4,SA928-A73044A-R07-C05,SA928,A73044A
130,2,222000001,228500000,4,4.130981478064419,4,SA928-A73044A-R07-C05,SA928,A73044A
131,2,228500001,230000000,5,5.046696382153151,4,SA928-A73044A-R07-C05,SA928,A73044A
132,2,230000001,243500000,4,4.2340950875394,4,SA928-A73044A-R07-C05,SA928,A73044A
133,20,1,20500000,4,4.06909363470541,4,SA928-A73044A-R07-C05,SA928,A73044A
134,20,20500001,23500000,5,5.07235469788166,4,SA928-A73044A-R07-C05,SA928,A73044A
135,20,23500001,60500000,4,4.10532307267528,4,SA928-A73044A-R07-C05,SA928,A73044A
136,20,60500001,63500000,5,5.02808201881135,4,SA928-A73044A-R07-C05,SA928,A73044A
137,21,1,39000000,4,4.1684204924143495,4,SA928-A73044A-R07-C05,SA928,A73044A
138,21,39000001,48500000,5,4.933131531015389,4,SA928-A73044A-R07-C05,SA928,A73044A
139,22,1,35000000,4,3.96799074176594,4,SA928-A73044A-R07-C05,SA928,A73044A
140,22,35000001,38000000,5,4.88791916907264,4,SA928-A73044A-R07-C05,SA928,A73044A
141,22,38000001,51500000,4,4.1768062349883,4,SA928-A73044A-R07-C05,SA928,A73044A
142,3,1,16500000,4,4.26773162976683,4,SA928-A73044A-R07-C05,SA928,A73044A
143,3,16500001,20500000,5,4.7730406579197,4,SA928-A73044A-R07-C05,SA928,A73044A
144,3,20500001,52500000,4,4.12233231366656,4,SA928-A73044A-R07-C05,SA928,A73044A
145,3,52500001,55500000,5,4.90474918243671,4,SA928-A73044A-R07-C05,SA928,A73044A
146,3,55500001,59500000,4,3.88209495387479,4,SA928-A73044A-R07-C05,SA928,A73044A
147,3,59500001,62500000,5,4.80656825685388,4,SA928-A73044A-R07-C05,SA928,A73044A
148,3,62500001,110000000,4,4.16120145837714,4,SA928-A73044A-R07-C05,SA928,A73044A
149,3,110000001,120000000,5,4.764845363790379,4,SA928-A73044A-R07-C05,SA928,A73044A
150,3,120000001,139000000,4,4.105334451268121,4,SA928-A73044A-R07-C05,SA928,A73044A
151,3,139000001,141000000,5,4.98619709497562,4,SA928-A73044A-R07-C05,SA928,A73044A
152,3,141000001,198500000,4,4.05827043285743,4,SA928-A73044A-R07-C05,SA928,A73044A
153,4,1,7000000,4,4.300142830449779,4,SA928-A73044A-R07-C05,SA928,A73044A
154,4,7000001,11500000,5,4.70733609965887,4,SA928-A73044A-R07-C05,SA928,A73044A
155,4,11500001,29000000,4,4.0975737194142905,4,SA928-A73044A-R07-C05,SA928,A73044A
156,4,29000001,34500000,5,4.94591458736246,4,SA928-A73044A-R07-C05,SA928,A73044A
157,4,34500001,63000000,4,4.1089615095518,4,SA928-A73044A-R07-C05,SA928,A73044A
158,4,63000001,66000000,5,4.851682058220071,4,SA928-A73044A-R07-C05,SA928,A73044A
159,4,66000001,69500000,4,4.10007011742483,4,SA928-A73044A-R07-C05,SA928,A73044A
160,4,69500001,71000000,5,5.236661954374941,4,SA928-A73044A-R07-C05,SA928,A73044A
161,4,71000001,155000000,4,4.05391460204516,4,SA928-A73044A-R07-C05,SA928,A73044A
162,4,155000001,160000000,5,4.88643869116765,4,SA928-A73044A-R07-C05,SA928,A73044A
163,4,160000001,169500000,4,4.2338859415539805,4,SA928-A73044A-R07-C05,SA928,A73044A
164,4,169500001,176000000,5,5.17060877572425,4,SA928-A73044A-R07-C05,SA928,A73044A
165,4,176000001,191500000,4,4.35268123340581,4,SA928-A73044A-R07-C05,SA928,A73044A
166,5,1,43500000,4,4.2753798488606,4,SA928-A73044A-R07-C05,SA928,A73044A
167,5,43500001,54000000,5,4.84362746725742,4,SA928-A73044A-R07-C05,SA928,A73044A
168,5,54000001,56000000,4,4.28305521470461,4,SA928-A73044A-R07-C05,SA928,A73044A
169,5,56000001,58500000,5,4.841182713688981,4,SA928-A73044A-R07-C05,SA928,A73044A
170,5,58500001,81000000,4,4.23758529487608,4,SA928-A73044A-R07-C05,SA928,A73044A
171,5,81000001,90000000,5,4.691913253722411,4,SA928-A73044A-R07-C05,SA928,A73044A
172,5,90000001,92500000,4,4.00860745348527,4,SA928-A73044A-R07-C05,SA928,A73044A
173,5,92500001,96500000,5,4.94028581344531,4,SA928-A73044A-R07-C05,SA928,A73044A
174,5,96500001,111500000,4,4.24268101681503,4,SA928-A73044A-R07-C05,SA928,A73044A
175,5,111500001,117500000,5,5.01743019524897,4,SA928-A73044A-R07-C05,SA928,A73044A
176,5,117500001,140500000,4,3.90556878828327,4,SA928-A73044A-R07-C05,SA928,A73044A
177,5,140500001,142500000,5,5.15318526354671,4,SA928-A73044A-R07-C05,SA928,A73044A
178,5,142500001,148000000,4,3.9573412090795297,4,SA928-A73044A-R07-C05,SA928,A73044A
179,5,148000001,159000000,5,4.92460211502451,4,SA928-A73044A-R07-C05,SA928,A73044A
180,5,159000001,181000000,4,4.04327469750226,4,SA928-A73044A-R07-C05,SA928,A73044A
181,6,1,15000000,4,4.30925494204942,4,SA928-A73044A-R07-C05,SA928,A73044A
182,6,15000001,18500000,5,5.139902070433799,4,SA928-A73044A-R07-C05,SA928,A73044A
183,6,18500001,22000000,4,3.9755576945435203,4,SA928-A73044A-R07-C05,SA928,A73044A
184,6,22000001,23500000,5,5.05812110934271,4,SA928-A73044A-R07-C05,SA928,A73044A
185,6,23500001,39500000,4,3.8562661758165895,4,SA928-A73044A-R07-C05,SA928,A73044A
186,6,39500001,42500000,5,4.948578328581731,4,SA928-A73044A-R07-C05,SA928,A73044A
187,6,42500001,55000000,4,4.25011318781888,4,SA928-A73044A-R07-C05,SA928,A73044A
188,6,55000001,58000000,5,5.1064423429041,4,SA928-A73044A-R07-C05,SA928,A73044A
189,6,58000001,94000000,4,4.28718194785231,4,SA928-A73044A-R07-C05,SA928,A73044A
190,6,94000001,101000000,5,4.78602329525108,4,SA928-A73044A-R07-C05,SA928,A73044A
191,6,101000001,171500000,4,4.26184322955027,4,SA928-A73044A-R07-C05,SA928,A73044A
192,7,1,114500000,4,3.87629532760086,4,SA928-A73044A-R07-C05,SA928,A73044A
193,7,114500001,117500000,5,4.8521760016417,4,SA928-A73044A-R07-C05,SA928,A73044A
194,7,117500001,131000000,4,3.80644025783627,4,SA928-A73044A-R07-C05,SA928,A73044A
195,7,131000001,132500000,5,5.1754103273601295,4,SA928-A73044A-R07-C05,SA928,A73044A
196,7,132500001,146000000,4,3.8660519861737996,4,SA928-A73044A-R07-C05,SA928,A73044A
197,7,146000001,148000000,5,5.002354665897941,4,SA928-A73044A-R07-C05,SA928,A73044A
198,7,148000001,159500000,4,4.007521847750899,4,SA928-A73044A-R07-C05,SA928,A73044A
199,8,1,88000000,4,4.02338773888847,4,SA928-A73044A-R07-C05,SA928,A73044A
200,8,88000001,90500000,5,4.97867370717409,4,SA928-A73044A-R07-C05,SA928,A73044A
201,8,90500001,121000000,4,3.86839903962257,4,SA928-A73044A-R07-C05,SA928,A73044A
202,8,121000001,125000000,5,4.85233153793841,4,SA928-A73044A-R07-C05,SA928,A73044A
203,8,125000001,127500000,4,4.27438521254879,4,SA928-A73044A-R07-C05,SA928,A73044A
204,8,127500001,134500000,5,4.91662751766711,4,SA928-A73044A-R07-C05,SA928,A73044A
205,8,134500001,142000000,4,3.92231065150325,4,SA928-A73044A-R07-C05,SA928,A73044A
206,8,142000001,146500000,5,4.96158454482618,4,SA928-A73044A-R07-C05,SA928,A73044A
207,9,1,1500000,4,3.64754759014421,4,SA928-A73044A-R07-C05,SA928,A73044A
208,9,1500001,3500000,5,4.911148336241,4,SA928-A73044A-R07-C05,SA928,A73044A
209,9,3500001,34500000,4,4.191465841828331,4,SA928-A73044A-R07-C05,SA928,A73044A
210,9,34500001,36000000,5,5.09982801055185,4,SA928-A73044A-R07-C05,SA928,A73044A
211,9,36000001,39000000,4,3.8869233679707302,4,SA928-A73044A-R07-C05,SA928,A73044A
212,9,39000001,71000000,1,1.46608478347907,4,SA928-A73044A-R07-C05,SA928,A73044A
213,9,71000001,141500000,4,4.17147642064633,4,SA928-A73044A-R07-C05,SA928,A73044A
214,X,1,155500000,2,1.87872619866429,4,SA928-A73044A-R07-C05,SA928,A73044A
215,Y,1,23500000,2,2.00186943722255,4,SA928-A73044A-R07-C05,SA928,A73044A
216,Y,23500001,59500000,0,0.0881835471525683,4,SA928-A73044A-R07-C05,SA928,A73044A
217,1,1,249500000,2,2.06733862981614,2,SA928-A73044A-R07-C06,SA928,A73044A
218,10,1,136000000,2,1.98520453251521,2,SA928-A73044A-R07-C06,SA928,A73044A
219,11,1,135500000,2,2.10493276807275,2,SA928-A73044A-R07-C06,SA928,A73044A
220,12,1,134000000,2,2.0894884454714098,2,SA928-A73044A-R07-C06,SA928,A73044A
221,13,1,115500000,2,2.0129181494646997,2,SA928-A73044A-R07-C06,SA928,A73044A
222,14,1,107500000,2,2.01612745245533,2,SA928-A73044A-R07-C06,SA928,A73044A
223,15,1,103000000,2,1.97411757685514,2,SA928-A73044A-R07-C06,SA928,A73044A
224,16,1,90500000,2,1.9957045606152701,2,SA928-A73044A-R07-C06,SA928,A73044A
225,17,1,81500000,2,1.98517336861965,2,SA928-A73044A-R07-C06,SA928,A73044A
226,18,1,78500000,2,2.01924820306222,2,SA928-A73044A-R07-C06,SA928,A73044A
227,19,1,59500000,2,1.89338387131219,2,SA928-A73044A-R07-C06,SA928,A73044A
228,2,1,243500000,2,2.04040397856995,2,SA928-A73044A-R07-C06,SA928,A73044A
229,20,1,63500000,2,2.12695894621956,2,SA928-A73044A-R07-C06,SA928,A73044A
230,21,1,48500000,2,1.8933941731213502,2,SA928-A73044A-R07-C06,SA928,A73044A
231,22,1,51500000,2,1.991321705953,2,SA928-A73044A-R07-C06,SA928,A73044A
232,3,1,198500000,2,1.99124444656367,2,SA928-A73044A-R07-C06,SA928,A73044A
233,4,1,191500000,2,1.96632060961821,2,SA928-A73044A-R07-C06,SA928,A73044A
234,5,1,181000000,2,1.9192575398251799,2,SA928-A73044A-R07-C06,SA928,A73044A
235,6,1,171500000,2,1.98957701735553,2,SA928-A73044A-R07-C06,SA928,A73044A
236,7,1,159500000,2,2.00109254200154,2,SA928-A73044A-R07-C06,SA928,A73044A
237,8,1,146500000,2,2.02389824848757,2,SA928-A73044A-R07-C06,SA928,A73044A
238,9,1,141500000,2,2.02475674630541,2,SA928-A73044A-R07-C06,SA928,A73044A
239,X,1,155500000,1,0.9936682647360929,2,SA928-A73044A-R07-C06,SA928,A73044A
240,Y,1,23500000,1,1.01534175146345,2,SA928-A73044A-R07-C06,SA928,A73044A
241,Y,23500001,59500000,0,0.0514930373277667,2,SA928-A73044A-R07-C06,SA928,A73044A
242,1,1,249500000,2,2.00401046988369,2,SA928-A73044A-R07-C07,SA928,A73044A
243,10,1,136000000,2,1.9855319870036798,2,SA928-A73044A-R07-C07,SA928,A73044A
244,11,1,135500000,2,2.06668468699076,2,SA928-A73044A-R07-C07,SA928,A73044A
245,12,1,134000000,2,2.01066425642995,2,SA928-A73044A-R07-C07,SA928,A73044A
246,13,1,115500000,2,1.95854315061322,2,SA928-A73044A-R07-C07,SA928,A73044A
247,14,1,106000000,2,1.9898821972732699,2,SA928-A73044A-R07-C07,SA928,A73044A
248,14,106000001,107500000,1,0.9931449866108191,2,SA928-A73044A-R07-C07,SA928,A73044A
249,15,1,103000000,2,1.9790880188228,2,SA928-A73044A-R07-C07,SA928,A73044A
250,16,1,90500000,2,1.9781614708487498,2,SA928-A73044A-R07-C07,SA928,A73044A
251,17,1,81500000,2,1.9278747455979197,2,SA928-A73044A-R07-C07,SA928,A73044A
252,18,1,78500000,2,1.98994974216156,2,SA928-A73044A-R07-C07,SA928,A73044A
253,19,1,59500000,2,1.8614165075178601,2,SA928-A73044A-R07-C07,SA928,A73044A
254,2,1,243500000,2,1.97278716373497,2,SA928-A73044A-R07-C07,SA928,A73044A
255,20,1,63500000,2,2.02959819816448,2,SA928-A73044A-R07-C07,SA928,A73044A
256,21,1,48500000,2,1.94909308228461,2,SA928-A73044A-R07-C07,SA928,A73044A
257,22,1,51500000,2,1.92329948448971,2,SA928-A73044A-R07-C07,SA928,A73044A
258,3,1,198500000,2,1.9985885114407802,2,SA928-A73044A-R07-C07,SA928,A73044A
259,4,1,191500000,2,1.9877791281108799,2,SA928-A73044A-R07-C07,SA928,A73044A
260,5,1,181000000,2,2.01203730848267,2,SA928-A73044A-R07-C07,SA928,A73044A
261,6,1,171500000,2,2.02908027186754,2,SA928-A73044A-R07-C07,SA928,A73044A
262,7,1,159500000,2,1.9484948454165603,2,SA928-A73044A-R07-C07,SA928,A73044A
263,8,1,146500000,2,2.0066378697422,2,SA928-A73044A-R07-C07,SA928,A73044A
264,9,1,38500000,2,2.05514663311183,2,SA928-A73044A-R07-C07,SA928,A73044A
265,9,38500001,70000000,1,0.704016081473657,2,SA928-A73044A-R07-C07,SA928,A73044A
266,9,70000001,141500000,2,2.01485122617575,2,SA928-A73044A-R07-C07,SA928,A73044A
267,X,1,2500000,2,1.85442167832552,2,SA928-A73044A-R07-C07,SA928,A73044A
268,X,2500001,155500000,1,1.00354932339125,2,SA928-A73044A-R07-C07,SA928,A73044A
269,Y,1,23500000,1,0.95643461577637,2,SA928-A73044A-R07-C07,SA928,A73044A
270,Y,23500001,59500000,0,0.0364885781504313,2,SA928-A73044A-R07-C07,SA928,A73044A
271,1,1,249500000,2,2.03313470173557,2,SA928-A73044A-R07-C08,SA928,A73044A
272,10,1,136000000,2,2.0663161659249,2,SA928-A73044A-R07-C08,SA928,A73044A
273,11,1,135500000,2,2.0221109260969903,2,SA928-A73044A-R07-C08,SA928,A73044A
274,12,1,134000000,2,1.9597588219245903,2,SA928-A73044A-R07-C08,SA928,A73044A
275,13,1,115500000,2,1.99835511922833,2,SA928-A73044A-R07-C08,SA928,A73044A
276,14,1,107500000,2,2.05243009516473,2,SA928-A73044A-R07-C08,SA928,A73044A
277,15,1,103000000,2,1.99092951960296,2,SA928-A73044A-R07-C08,SA928,A73044A
278,16,1,90500000,2,1.99000441617972,2,SA928-A73044A-R07-C08,SA928,A73044A
279,17,1,81500000,2,1.92500398749828,2,SA928-A73044A-R07-C08,SA928,A73044A
280,18,1,78500000,2,1.9594524271652702,2,SA928-A73044A-R07-C08,SA928,A73044A
281,19,1,59500000,2,1.92994916077631,2,SA928-A73044A-R07-C08,SA928,A73044A
282,2,1,243500000,2,2.0772942137531,2,SA928-A73044A-R07-C08,SA928,A73044A
283,20,1,63500000,2,2.0018640932325,2,SA928-A73044A-R07-C08,SA928,A73044A
284,21,1,48500000,2,2.05022840660964,2,SA928-A73044A-R07-C08,SA928,A73044A
285,22,1,51500000,2,1.9331656829548298,2,SA928-A73044A-R07-C08,SA928,A73044A
286,3,1,198500000,2,2.00871535137895,2,SA928-A73044A-R07-C08,SA928,A73044A
287,4,1,191500000,2,2.03684003835138,2,SA928-A73044A-R07-C08,SA928,A73044A
288,5,1,181000000,2,2.00268371645015,2,SA928-A73044A-R07-C08,SA928,A73044A
289,6,1,171500000,2,1.9712407363283202,2,SA928-A73044A-R07-C08,SA928,A73044A
290,7,1,159500000,2,1.94738190381439,2,SA928-A73044A-R07-C08,SA928,A73044A
291,8,1,146500000,2,1.95024046341739,2,SA928-A73044A-R07-C08,SA928,A73044A
292,9,1,141500000,2,2.01240720740395,2,SA928-A73044A-R07-C08,SA928,A73044A
293,X,1,155500000,1,0.995860830400169,2,SA928-A73044A-R07-C08,SA928,A73044A
